188;DIRECTORA DE LINEA DE LA DIRECCION GRAL DE  FORMACION PARA ECOSOCIALISMO
291;JEFE DE DIVISION DE GESTION INTERNA ECOSOCIALISTA
1551;JEFE DE DIVISION DE GESTION INTERNA ANZOATEGUI
2943;DIRECTOR DE LINEA DE CONTROL Y SEGUIMIENTO DE LA GESTION TERRITORIAL
2696;DIRECTOR(A) DE LINEA DE INFORMACION E INVESTIGACION SOBRE DIVERSIDAD BIOLOGICA
28;DIRECTORA GENERAL DE PATRIMONIO FORESTAL
135;Apoyo Profesional I Nivel I
1612;JEFA DE DIVISION DE GESTION ECOSOCIALISTA DEL AMBIENTE LA GUAIRA
1204;DIRECTORA DE LINEA DE ANALISIS Y EVALUACION JURIDICA AMBIENTAL
1246;DIRECTORA DE LINEA DE INGRESO Y DESARROLLO
2894;ADJUNTA A LA DIRECCION GENERAL DE GESTION HUMANA
1356;JEFE DE DIVISIVION DE CONTRATOS
1206;DIRECTORA DE LINEA DE PROCEDIMIENTOS ADMINISTRATIVOS Y JUDICIARIOS
1627;JEFE DE DIVISION DE GESTIÓN ECOSOCIALISTA DEL AMBIENTE MIRANDA
1347;DIRECTOR DE LINEA DE PREVENCIÓN DE AMENAZAS A LA DIVERSIDAD BIOLÓGICA
141;Apoyo Profesional I Nivel VII
2767;DIRECTOR(A) DE LINEA DE DESALINIZACION DEL AGUA
2768;JEFE DE DIVISION DE PREESCOLAR
2769;JEFE DE DIVISION DE ESTRATEGIA COMUNICACIONAL
2770;DIRECTORA DE LINEA DE PARTICIPACION CIUDADANA
2771;DIRECTORA DE LINEA DE PLANIFICACION
2772;DIRECTOR GENERAL DEL DESPACHO
2773;JEFE DE DIVISION DE INNOVACION Y DESARROLLO
2774;DIRECTORA DE LINEA (E) DE RELACIONES PUBLICAS E IMAGEN
2775;COORDINADOR RESIDENCIA COMPROMISO Y RESPONSABILIDAD
2778;DIRECTOR(A) ESTADAL DE ECOSOCIALISMO Y AGUAS EN EL ESTADO AMAZONAS
2779;COORDINADOR DE LA DIVISION DE SEGURIDAD FISICA OPERATIVA
2780;COORDINADOR(A) DE SEGUIMIENTO Y CONTROL ESTADAL CENTRAL DE PROCESOS DE TAQUILLA UNICA SISTRA
2781;COORDINADOR(A) DE SEGUIMIENTO Y CONTROL CENTRAL - CENTRAL DE PROCESOS DE TAQUILLA UNICA SISTRA
2782;COORDINADOR(A) DE PROCESOS DE FORMACION PARA LA PARTICIPACION CIUDADANA
2784;COORDINADOR(A) DE PRENSA
2786;COORDINADOR(A) EN LA COORDINACION DE SEGURIDAD INDUSTRIAL
2787;ADJUNTO AL DESPACHO DEL VICEMINISTRO DE INTEGRAL DE LA BASURA
2788;COORDINADOR(A) EN LA DIVISION DE AUDITORIAS ADMINISTRATIVAS Y FINANCIERA
2789;COORDINADOR(A) EN LA DIVISION DE EXAMEN DE LA CUENTA
2790;JEFE DE DIVISION DE GESTION ECO. DE DESECHOS Y RESIDUOS TACHIRA
